Hospital,N,Accuracy,Selection_Rate,True_Rate,DI_RACE,WTPR_RACE,DI_AGE_GROUP,WTPR_AGE_GROUP
144000,902,0.8780487804878049,0.3170731707317073,0.328159645232816,0.5844155844155845,0.7685185185185185,0.30150768172437514,0.7215909090909091
145000,988,0.8259109311740891,0.47874493927125505,0.5293522267206477,0.8293838862559243,0.74,0.5263049478844807,0.762589928057554
146000,281,0.8683274021352313,0.2775800711743772,0.3167259786476868,0.289193302891933,0.6538461538461539,0.28940568475452194,0.6428571428571429
154000,2549,0.8222832483326795,0.4868575912122401,0.4998038446449588,0.9047193877551021,0.7944954128440367,0.5313918235422905,0.7767195767195767
154001,766,0.8681462140992167,0.6618798955613577,0.6240208877284595,0.9454248366013073,0.8666666666666667,0.805895865237366,0.8571428571428571
154002,663,0.8024132730015083,0.6078431372549019,0.5490196078431373,0.8943157894736842,0.8647342995169082,0.7569746376811595,0.8157894736842105
155000,428,0.8434579439252337,0.2546728971962617,0.3364485981308411,0.3912698412698413,0.5714285714285714,0.2618328298086606,0.5555555555555556
157000,129,0.7674418604651163,0.5503875968992248,0.5503875968992248,0.0,0.78125,0.5,0.7540983606557377
158000,1734,0.8321799307958477,0.33160322952710497,0.43252595155709345,0.6488496799861615,0.6590909090909091,0.4611856633259725,0.6844319775596073
168000,737,0.8100407055630936,0.37449118046132973,0.49118046132971505,0.6885474860335196,0.5833333333333334,0.3880838808388084,0.6053811659192825
172000,1006,0.8499005964214712,0.43439363817097415,0.4194831013916501,0.14036478984932596,0.5,0.4639044002680366,0.8088737201365188
180000,695,0.7841726618705036,0.6402877697841727,0.48776978417266187,0.5841584158415841,0.9290540540540541,0.7178098174847903,0.9111111111111111
181000,1490,0.8295302013422818,0.36845637583892615,0.42885906040268457,0.6425973326148458,0.5,0.4676526704645404,0.655940594059406
182000,994,0.8591549295774648,0.4607645875251509,0.42857142857142855,0.463768115942029,0.6,0.46241926012918383,0.8253424657534246
186000,210,0.8476190476190476,0.2904761904761905,0.319047619047619,0.29853479853479853,0.6666666666666666,0.2892561983471074,0.6363636363636364
