Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
LightGBM,RACE,CAL,0.562799,0.137701,0.05,0.5128,3.7,0.0,0.0,UNFAIR
LightGBM,SEX,DI,0.759769,0.014382,0.8,0.0402,2.8,0.0333,3.3,UNFAIR
LightGBM,SEX,SPD,0.124823,0.008839,0.1,0.0248,2.8,0.0333,3.3,UNFAIR
LightGBM,SEX,EOPP,0.036261,0.010327,0.1,0.0637,6.2,0.0,100.0,FAIR
LightGBM,SEX,EOD,0.050273,0.0073,0.1,0.0497,6.8,0.0,100.0,FAIR
LightGBM,SEX,TI,0.003977,0.002207,0.1,0.096,43.5,0.0,100.0,FAIR
LightGBM,SEX,PP,0.008288,0.007626,0.1,0.0917,12.0,0.0,100.0,FAIR
LightGBM,SEX,CAL,0.066729,0.021381,0.05,0.0167,0.8,0.2,20.0,UNFAIR
LightGBM,ETHNICITY,DI,0.828997,0.021117,0.8,0.029,1.4,0.0667,93.3,FAIR
LightGBM,ETHNICITY,SPD,0.079049,0.010362,0.1,0.021,2.0,0.0333,96.7,FAIR
LightGBM,ETHNICITY,EOPP,0.021492,0.011579,0.1,0.0785,6.8,0.0,100.0,FAIR
LightGBM,ETHNICITY,EOD,0.034428,0.006111,0.1,0.0656,10.7,0.0,100.0,FAIR
LightGBM,ETHNICITY,TI,0.003361,0.001825,0.1,0.0966,53.0,0.0,100.0,FAIR
LightGBM,ETHNICITY,PP,0.010624,0.007234,0.1,0.0894,12.4,0.0,100.0,FAIR
LightGBM,ETHNICITY,CAL,0.088699,0.033808,0.05,0.0387,1.1,0.0667,6.7,UNFAIR
LightGBM,AGE_GROUP,DI,0.290114,0.010044,0.8,0.5099,50.8,0.0,0.0,UNFAIR
LightGBM,AGE_GROUP,SPD,0.437432,0.007997,0.1,0.3374,42.2,0.0,0.0,UNFAIR
LightGBM,AGE_GROUP,EOPP,0.185965,0.020053,0.1,0.086,4.3,0.0,0.0,UNFAIR
LightGBM,AGE_GROUP,EOD,0.185965,0.020053,0.1,0.086,4.3,0.0,0.0,UNFAIR
LightGBM,AGE_GROUP,TI,0.016397,0.004058,0.1,0.0836,20.6,0.0,100.0,FAIR
LightGBM,AGE_GROUP,PP,0.084877,0.028293,0.1,0.0151,0.5,0.2667,73.3,FAIR
LightGBM,AGE_GROUP,CAL,0.261482,0.083087,0.05,0.2115,2.5,0.0,0.0,UNFAIR
AdaBoost,RACE,DI,0.638566,0.093945,0.8,0.1614,1.7,0.0333,3.3,UNFAIR
AdaBoost,RACE,SPD,0.173843,0.044478,0.1,0.0738,1.7,0.0333,3.3,UNFAIR
AdaBoost,RACE,EOPP,0.172034,0.076661,0.1,0.072,0.9,0.2333,23.3,UNFAIR
AdaBoost,RACE,EOD,0.176111,0.072843,0.1,0.0761,1.0,0.2,20.0,UNFAIR
AdaBoost,RACE,TI,0.01059,0.006823,0.1,0.0894,13.1,0.0,100.0,FAIR
AdaBoost,RACE,PP,0.15056,0.081482,0.1,0.0506,0.6,0.3333,33.3,UNFAIR
AdaBoost,RACE,CAL,0.40647,0.136451,0.05,0.3565,2.6,0.0,0.0,UNFAIR
AdaBoost,SEX,DI,0.69907,0.014596,0.8,0.1009,6.9,0.0,0.0,UNFAIR
AdaBoost,SEX,SPD,0.159238,0.009353,0.1,0.0592,6.3,0.0,0.0,UNFAIR
AdaBoost,SEX,EOPP,0.082581,0.011362,0.1,0.0174,1.5,0.0333,96.7,FAIR
AdaBoost,SEX,EOD,0.098597,0.008297,0.1,0.0014,0.2,0.3333,66.7,FAIR
AdaBoost,SEX,TI,0.003465,0.00093,0.1,0.0965,103.8,0.0,100.0,FAIR
AdaBoost,SEX,PP,0.014018,0.008975,0.1,0.086,9.6,0.0,100.0,FAIR
AdaBoost,SEX,CAL,0.205309,0.010118,0.05,0.1553,15.3,0.0,0.0,UNFAIR
AdaBoost,ETHNICITY,DI,0.787839,0.017733,0.8,0.0122,0.7,0.2667,26.7,UNFAIR
AdaBoost,ETHNICITY,SPD,0.096469,0.008642,0.1,0.0035,0.4,0.3333,66.7,FAIR
AdaBoost,ETHNICITY,EOPP,0.055176,0.012501,0.1,0.0448,3.6,0.0,100.0,FAIR
AdaBoost,ETHNICITY,EOD,0.058928,0.010053,0.1,0.0411,4.1,0.0,100.0,FAIR
AdaBoost,ETHNICITY,TI,0.001311,0.00113,0.1,0.0987,87.3,0.0,100.0,FAIR
AdaBoost,ETHNICITY,PP,0.010556,0.009275,0.1,0.0894,9.6,0.0,100.0,FAIR
AdaBoost,ETHNICITY,CAL,0.192034,0.009466,0.05,0.142,15.0,0.0,0.0,UNFAIR
AdaBoost,AGE_GROUP,DI,0.197346,0.011512,0.8,0.6027,52.4,0.0,0.0,UNFAIR
AdaBoost,AGE_GROUP,SPD,0.497388,0.010063,0.1,0.3974,39.5,0.0,0.0,UNFAIR
AdaBoost,AGE_GROUP,EOPP,0.395072,0.024238,0.1,0.2951,12.2,0.0,0.0,UNFAIR
AdaBoost,AGE_GROUP,EOD,0.395072,0.024238,0.1,0.2951,12.2,0.0,0.0,UNFAIR
AdaBoost,AGE_GROUP,TI,0.004308,0.001508,0.1,0.0957,63.5,0.0,100.0,FAIR
AdaBoost,AGE_GROUP,PP,0.074974,0.026242,0.1,0.025,1.0,0.2,80.0,FAIR
AdaBoost,AGE_GROUP,CAL,0.223699,0.027146,0.05,0.1737,6.4,0.0,0.0,UNFAIR
GradientBoosting,RACE,DI,0.637896,0.101996,0.8,0.1621,1.6,0.0333,3.3,UNFAIR
GradientBoosting,RACE,SPD,0.180794,0.051332,0.1,0.0808,1.6,0.0333,3.3,UNFAIR
GradientBoosting,RACE,EOPP,0.133388,0.061163,0.1,0.0334,0.5,0.3333,33.3,UNFAIR
GradientBoosting,RACE,EOD,0.136621,0.056708,0.1,0.0366,0.6,0.3333,33.3,UNFAIR
GradientBoosting,RACE,TI,0.021861,0.012616,0.1,0.0781,6.2,0.0,100.0,FAIR
GradientBoosting,RACE,PP,0.112186,0.067433,0.1,0.0122,0.2,0.5,50.0,UNFAIR
GradientBoosting,RACE,CAL,0.543805,0.140982,0.05,0.4938,3.5,0.0,0.0,UNFAIR
GradientBoosting,SEX,DI,0.750041,0.014342,0.8,0.05,3.5,0.0,0.0,UNFAIR
GradientBoosting,SEX,SPD,0.129528,0.008894,0.1,0.0295,3.3,0.0,0.0,UNFAIR
GradientBoosting,SEX,EOPP,0.046605,0.009254,0.1,0.0534,5.8,0.0,100.0,FAIR
GradientBoosting,SEX,EOD,0.056541,0.006861,0.1,0.0435,6.3,0.0,100.0,FAIR
GradientBoosting,SEX,TI,0.002705,0.001657,0.1,0.0973,58.7,0.0,100.0,FAIR
GradientBoosting,SEX,PP,0.009575,0.007333,0.1,0.0904,12.3,0.0,100.0,FAIR
GradientBoosting,SEX,CAL,0.076039,0.016865,0.05,0.026,1.5,0.0333,3.3,UNFAIR
GradientBoosting,ETHNICITY,DI,0.820414,0.020537,0.8,0.0204,1.0,0.1333,86.7,FAIR
GradientBoosting,ETHNICITY,SPD,0.082386,0.009984,0.1,0.0176,1.8,0.0333,96.7,FAIR
GradientBoosting,ETHNICITY,EOPP,0.034902,0.013922,0.1,0.0651,4.7,0.0,100.0,FAIR
GradientBoosting,ETHNICITY,EOD,0.039629,0.010075,0.1,0.0604,6.0,0.0,100.0,FAIR
GradientBoosting,ETHNICITY,TI,0.002566,0.001873,0.1,0.0974,52.0,0.0,100.0,FAIR
GradientBoosting,ETHNICITY,PP,0.01056,0.007465,0.1,0.0894,12.0,0.0,100.0,FAIR
GradientBoosting,ETHNICITY,CAL,0.074419,0.021485,0.05,0.0244,1.1,0.1,10.0,UNFAIR
GradientBoosting,AGE_GROUP,DI,0.259397,0.01083,0.8,0.5406,49.9,0.0,0.0,UNFAIR
GradientBoosting,AGE_GROUP,SPD,0.4596,0.008665,0.1,0.3596,41.5,0.0,0.0,UNFAIR
GradientBoosting,AGE_GROUP,EOPP,0.25043,0.025903,0.1,0.1504,5.8,0.0,0.0,UNFAIR
GradientBoosting,AGE_GROUP,EOD,0.25043,0.025903,0.1,0.1504,5.8,0.0,0.0,UNFAIR
GradientBoosting,AGE_GROUP,TI,0.014883,0.004273,0.1,0.0851,19.9,0.0,100.0,FAIR
GradientBoosting,AGE_GROUP,PP,0.082684,0.028416,0.1,0.0173,0.6,0.2,80.0,FAIR
GradientBoosting,AGE_GROUP,CAL,0.221762,0.069146,0.05,0.1718,2.5,0.0,0.0,UNFAIR
DecisionTree,RACE,DI,0.644632,0.090083,0.8,0.1554,1.7,0.0333,3.3,UNFAIR
DecisionTree,RACE,SPD,0.176555,0.045413,0.1,0.0766,1.7,0.0667,6.7,UNFAIR
DecisionTree,RACE,EOPP,0.163352,0.085071,0.1,0.0634,0.7,0.2333,23.3,UNFAIR
DecisionTree,RACE,EOD,0.166509,0.081515,0.1,0.0665,0.8,0.2,20.0,UNFAIR
DecisionTree,RACE,TI,0.0379,0.027839,0.1,0.0621,2.2,0.0667,93.3,FAIR
DecisionTree,RACE,PP,0.143357,0.075455,0.1,0.0434,0.6,0.3,30.0,UNFAIR
DecisionTree,RACE,CAL,0.623783,0.157227,0.05,0.5738,3.6,0.0,0.0,UNFAIR
DecisionTree,SEX,DI,0.749324,0.013744,0.8,0.0507,3.7,0.0,0.0,UNFAIR
DecisionTree,SEX,SPD,0.129088,0.008493,0.1,0.0291,3.4,0.0,0.0,UNFAIR
DecisionTree,SEX,EOPP,0.046701,0.009691,0.1,0.0533,5.5,0.0,100.0,FAIR
DecisionTree,SEX,EOD,0.065194,0.009865,0.1,0.0348,3.5,0.0,100.0,FAIR
DecisionTree,SEX,TI,0.004904,0.00299,0.1,0.0951,31.8,0.0,100.0,FAIR
DecisionTree,SEX,PP,0.010727,0.007986,0.1,0.0893,11.2,0.0,100.0,FAIR
DecisionTree,SEX,CAL,0.085397,0.017775,0.05,0.0354,2.0,0.0,0.0,UNFAIR
DecisionTree,ETHNICITY,DI,0.831935,0.019639,0.8,0.0319,1.6,0.0667,93.3,FAIR
DecisionTree,ETHNICITY,SPD,0.076322,0.009378,0.1,0.0237,2.5,0.0,100.0,FAIR
DecisionTree,ETHNICITY,EOPP,0.033143,0.011696,0.1,0.0669,5.7,0.0,100.0,FAIR
