Hospital,N,Accuracy,Selection_Rate,DI_RACE,DI_SEX
478000,628,0.8662420382165605,0.3535031847133758,0.0,0.6695304998231162
480000,963,0.9117341640706127,0.37383177570093457,0.9547283702213281,0.5311998443655463
481000,513,0.8615984405458089,0.49122807017543857,0.47059622436506865,0.7781264007171672
488000,284,0.852112676056338,0.35563380281690143,0.38235294117647056,0.7247446782330504
497000,1731,0.8705950317735413,0.4269208549971115,0.4422382671480145,0.8371010875378856
500000,1392,0.8663793103448276,0.4676724137931034,0.6431451612903226,0.9401668549578517
502000,806,0.8573200992555832,0.5893300248138957,0.7682119205298013,0.9984641526697601
503001,991,0.834510595358224,0.36427850655903127,0.7207207207207208,0.8105618795155674
505000,115,0.808695652173913,0.5478260869565217,0.4411764705882353,0.7040149393090569
506000,747,0.8433734939759037,0.3868808567603748,0.0,0.9596881091617934
508001,1195,0.8828451882845189,0.45523012552301256,0.49808917197452224,0.822940231653244
511000,647,0.8871715610510046,0.4420401854714065,0.38055555555555554,0.6274629718107979
513000,741,0.8529014844804319,0.4143049932523617,0.42021614748887476,0.9987764942963043
525000,388,0.865979381443299,0.43041237113402064,0.609090909090909,0.7699261992619927
534001,340,0.888235294117647,0.31470588235294117,0.4,0.7279535864978903
537000,1911,0.8916797488226059,0.3631606488749346,0.678,0.8329649564819057
547001,206,0.883495145631068,0.48058252427184467,0.5758513931888545,0.564261744966443
549000,421,0.8456057007125891,0.5439429928741093,0.5357142857142857,0.9450164480710899
556000,344,0.8691860465116279,0.36627906976744184,0.7217125382262997,0.7241201716738197
600001,446,0.8295964125560538,0.44170403587443946,0.0,0.9195124097870093
601000,1975,0.9225316455696203,0.2567088607594937,0.0,0.30106273054210225
602000,1094,0.8930530164533821,0.42321755027422303,0.6982248520710059,0.739938080495356
603002,199,0.8391959798994975,0.5979899497487438,0.7981143676982988,0.9646561659623512
606000,790,0.930379746835443,0.2810126582278481,0.6271551724137931,0.4499905464170921
608000,491,0.8879837067209776,0.4317718940936864,0.0,0.7927732736930388
609001,154,0.8701298701298701,0.4935064935064935,0.6229235880398671,0.8708272859216256
615000,1188,0.8855218855218855,0.26515151515151514,0.0,0.6324177513579994
625000,481,0.8981288981288982,0.32432432432432434,0.0,0.5527591780189333
627000,587,0.889267461669506,0.3850085178875639,0.0,0.6047908925606768
629001,420,0.9166666666666666,0.2261904761904762,0.4198232323232323,0.3251598398088948
634000,265,0.9245283018867925,0.5245283018867924,0.5714285714285714,0.9216521183734296
653001,309,0.8414239482200647,0.44983818770226536,0.2482758620689655,0.8804129122561456
664000,1114,0.8087971274685817,0.4622980251346499,0.6239754098360656,0.9395445039764314
675000,530,0.869811320754717,0.539622641509434,0.5129310344827587,0.7723970944309928
677001,718,0.8356545961002786,0.41225626740947074,0.4,0.9195430238210986
681400,115,0.808695652173913,0.6608695652173913,0.4977168949771689,0.967911877394636
686000,138,0.8695652173913043,0.45652173913043476,0.8320000000000001,0.9917355371900827
689401,407,0.8771498771498771,0.4226044226044226,0.786468433527257,0.7403752436647173
703000,828,0.8731884057971014,0.23671497584541062,0.0,0.2935222672064777
703002,465,0.853763440860215,0.6473118279569893,0.6833824975417895,0.8632912745936698
703003,196,0.8877551020408163,0.4897959183673469,0.6976744186046512,0.7466666666666666
714500,127,0.8503937007874016,0.3464566929133858,0.5047619047619047,0.847723704866562
715901,311,0.8810289389067524,0.37942122186495175,0.5651376146788991,0.7863894139886578
720402,111,0.990990990990991,0.990990990990991,0.9861111111111112,0.9791666666666666
724200,128,0.890625,0.34375,0.0,0.8666666666666667
724700,908,0.8931718061674009,0.3237885462555066,0.4935323383084577,0.6148187073042565
784400,501,0.9580838323353293,0.033932135728542916,0.0,0.5524553571428571
786800,150,0.8666666666666667,0.02666666666666667,0.0,0.33333333333333337
787400,137,0.8467153284671532,0.058394160583941604,0.21052631578947367,0.45021645021645024
788001,1636,0.878361858190709,0.46271393643031783,0.6495410232690529,0.8576240798418827
788002,420,0.8952380952380953,0.2833333333333333,0.7641065830721003,0.5994525547445255
790200,197,0.934010152284264,0.3553299492385787,0.5333333333333333,0.6212664277180405
792000,293,0.8839590443686007,0.04778156996587031,0.23255813953488372,0.3665454545454545
792700,133,0.9774436090225563,0.9699248120300752,0.95,0.9631944444444445
793000,634,0.861198738170347,0.4968454258675079,0.0,0.687453230231978
793100,776,0.8930412371134021,0.29381443298969073,0.0,0.47844874940491444
795500,270,0.8703703703703703,0.25925925925925924,0.4083333333333333,0.9403537638831757
797000,165,0.8787878787878788,0.6242424242424243,0.8250000000000001,0.8961650594303655
797100,1203,0.8919368246051538,0.32418952618453867,0.0,0.8573529411764705
797500,105,0.8285714285714286,0.09523809523809523,0.0,0.10256410256410257
797600,411,0.878345498783455,0.32116788321167883,0.5765765765765766,0.7713714514194322
798500,121,0.8016528925619835,0.33884297520661155,0.6542056074766355,0.7362962962962963
799001,215,0.9534883720930233,0.018604651162790697,0.0,0.9545454545454544
800600,511,0.9295499021526419,0.2191780821917808,0.0,0.9203958056417073
801500,631,0.9270998415213946,0.21870047543581617,0.2520833333333333,0.9885604893309053
802001,2243,0.8938921087828801,0.30584039233169863,0.0,0.437363580920588
806300,346,0.8815028901734104,0.3554913294797688,0.5178197064989518,0.5778717406624383
814000,165,0.8909090909090909,0.503030303030303,0.43421052631578944,0.7541852678571429
814001,601,0.8901830282861897,0.33610648918469216,0.8055555555555555,0.6913183279742765
