Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
LGB-XGB Blend,SEX,PP,0.03688,0.026436,0.1,0.0631,2.4,0.0,100.0,FAIR
LGB-XGB Blend,SEX,CAL,0.277637,0.084899,0.05,0.2276,2.7,0.0,0.0,UNFAIR
LGB-XGB Blend,ETHNICITY,DI,0.819239,0.090785,0.8,0.0192,0.2,0.4333,56.7,FAIR
LGB-XGB Blend,ETHNICITY,SPD,0.08578,0.043701,0.1,0.0142,0.3,0.3667,63.3,FAIR
LGB-XGB Blend,ETHNICITY,EOPP,0.06919,0.055302,0.1,0.0308,0.6,0.2333,76.7,FAIR
LGB-XGB Blend,ETHNICITY,EOD,0.078781,0.049583,0.1,0.0212,0.4,0.2333,76.7,FAIR
LGB-XGB Blend,ETHNICITY,TI,0.010646,0.007684,0.1,0.0894,11.6,0.0,100.0,FAIR
LGB-XGB Blend,ETHNICITY,PP,0.052441,0.042737,0.1,0.0476,1.1,0.1,90.0,FAIR
LGB-XGB Blend,ETHNICITY,CAL,0.414086,0.114879,0.05,0.3641,3.2,0.0,0.0,UNFAIR
LGB-XGB Blend,AGE_GROUP,DI,0.5072,0.040369,0.8,0.2928,7.3,0.0,0.0,UNFAIR
LGB-XGB Blend,AGE_GROUP,SPD,0.306576,0.030973,0.1,0.2066,6.7,0.0,0.0,UNFAIR
LGB-XGB Blend,AGE_GROUP,EOPP,0.109456,0.040337,0.1,0.0095,0.2,0.4333,43.3,UNFAIR
LGB-XGB Blend,AGE_GROUP,EOD,0.131622,0.034336,0.1,0.0316,0.9,0.2333,23.3,UNFAIR
LGB-XGB Blend,AGE_GROUP,TI,0.008065,0.006256,0.1,0.0919,14.7,0.0,100.0,FAIR
LGB-XGB Blend,AGE_GROUP,PP,0.054133,0.039969,0.1,0.0459,1.1,0.1333,86.7,FAIR
LGB-XGB Blend,AGE_GROUP,CAL,0.273683,0.061266,0.05,0.2237,3.7,0.0,0.0,UNFAIR
