Subset,N,Accuracy,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
21,10000,0.8818,0.5864418327371829,0,0.20413653943164617,0,0.23019837305551594,0,0.23019837305551594,0,0.021302961287142298,1,0.2568402471315093,0,0.7088449668044653,0,0.7715907894417131,0,0.11683431658491317,0,0.0408756939714775,1,0.04208960009170648,1,0.006233716922173692,1,0.005194244967253514,1,0.09060269140589167,0,0.8617288833649187,1,0.0628976192689008,1,0.026707774648809912,1,0.026707774648809912,1,0.0016276680171661076,1,0.007801275868751234,1,0.0763021921313391,0,0.2683890027172583,0,0.4474358574628009,0,0.20738288171561048,0,0.20738288171561048,0,0.021761660121840852,1,0.05622691292875992,1,0.1481056052675106,0
22,10000,0.8824,0.6692434210526316,0,0.16907684546830332,0,0.2367424242424242,0,0.2367424242424242,0,0.04663824868428845,1,0.06429391504018367,1,0.38857052979906226,0,0.72978505629478,0,0.14347826086956522,0,0.039766608984730945,1,0.05336868151290208,1,0.007209667753964456,1,0.006218150160928859,1,0.07889439467701642,0,0.8725477369107946,1,0.058198593862668846,1,0.020281757426899416,1,0.020281757426899416,1,0.0010845201764875106,1,0.016055524242845065,1,0.06311726415166596,0,0.3070970878150372,0,0.42189368905467595,0,0.14339127711220734,0,0.14339127711220734,0,0.01874482672010811,1,0.06501683603606168,1,0.23155114835514168,0
23,10000,0.8779,0.6998624011007912,0,0.1467126282159072,0,0.08819538670284932,1,0.08819538670284932,1,0.015106634740982082,1,0.14743589743589736,0,0.8656844277458898,0,0.7751249298575394,0,0.11672436919703971,0,0.03015428295247491,1,0.05018168647360598,1,0.007229896463414549,1,0.0016700064047135976,1,0.06540985972748126,0,0.8592194099213097,1,0.06516439280025005,1,0.0005414171004105572,1,0.025530012597061724,1,0.006321235288223433,1,0.000894086963832863,1,0.08836749573056224,0,0.32070502073443435,0,0.4240012558373566,0,0.16933436641136324,0,0.16933436641136324,0,0.021442254945714383,1,0.03627201547823489,1,0.2801348973474638,0
24,10000,0.8802,0.5288502154262059,0,0.2344459391289726,0,0.2947154471544715,0,0.2947154471544715,0,0.052435847112735474,1,0.21139240506329116,0,0.7919897675533518,0,0.7509637772434061,0,0.13010590474208755,0,0.0394938111812464,1,0.05190873863807152,1,0.0005051957010058297,1,0.004523918394349513,1,0.06293074595252443,0,0.8033588033588034,1,0.09132288401253918,1,0.01621870127566083,1,0.034472358044557116,1,0.005520785897977373,1,0.00182744919587019,1,0.0854253481606276,0,0.2744179729726678,0,0.4529782729706281,0,0.1898329632458443,0,0.1898329632458443,0,0.017329625219112646,1,0.05030562016552176,1,0.2464511467984346,0
25,10000,0.879,0.4561943319838056,0,0.2823272238103246,0,0.19999999999999996,0,0.19999999999999996,0,0.017606153335155215,1,0.24410256410256415,0,0.40547010741335604,0,0.7627568586378403,0,0.12332491433674203,0,0.0307601355773941,1,0.0520262967303079,1,0.005852814535319335,1,0.0010131739808387774,1,0.06671241235059783,0,0.8189050895885601,1,0.08405238566302242,1,0.02357618863983979,1,0.029692450398140002,1,0.0007772954879212493,1,0.0019748418552073543,1,0.09605159476571751,0,0.2847074664922241,0,0.44523139383167737,0,0.1859076426788745,0,0.1859076426788745,0,0.017187204953832226,1,0.04163035419295258,1,0.25374259704954083,0
26,10000,0.8742,0.634541910331384,0,0.19703211703379858,0,0.08934770692490412,1,0.09961605584642233,1,0.03845227561432451,1,0.06066906066906075,1,0.5559610243378477,0,0.746246688254342,0,0.13639240506329114,0,0.051564079893165804,1,0.051564079893165804,1,0.003628537177540102,1,0.023810236068150137,1,0.06639205722012498,0,0.854435572599827,1,0.06839629855741824,1,0.014704464740652123,1,0.021061453383910286,1,0.0024409868525525,1,0.009533726250110619,1,0.051260843754071084,0,0.31893183912531065,0,0.42274286494403884,0,0.18297446646341464,0,0.18297446646341464,0,0.021160236514766055,1,0.11685911598371479,0,0.3416834709758545,0
27,10000,0.8779,0.5339930052034462,0,0.229653606860602,0,0.16883116883116878,0,0.16883116883116878,0,0.0299287337627555,1,0.0888888888888888,1,0.25966767189211015,0,0.7499069398627944,0,0.13285982421137998,0,0.0411712386480666,1,0.05453869133394357,1,0.0032309030397635954,1,0.0028248415728432397,1,0.05581846298604337,0,0.8327144977437071,1,0.07838220074272845,1,0.008707616457204082,1,0.04677392128601665,1,0.010672678685246344,1,0.024416566244261473,1,0.09798734137783593,0,0.27783266859367406,0,0.45432360457262916,0,0.2087266624711559,0,0.2087266624711559,0,0.020034278889010493,1,0.09657776153939834,1,0.13499958042732896,0
28,10000,0.8785,0.4662363455809334,0,0.27114511518412654,0,0.21304347826086956,0,0.21304347826086956,0,0.017508396403751125,1,0.12222222222222223,0,0.6882454646947522,0,0.7842859338444986,0,0.11179255719279618,0,0.026756309133251666,1,0.04948918456776276,1,0.004646764043730767,1,0.002532337204185775,1,0.08173649760898283,0,0.8846448881399898,1,0.05330610319016854,1,0.014007092198581539,1,0.01759885792171466,1,0.0011149712899531788,1,0.0045213633366421035,1,0.05011271263747297,0,0.28641369981800735,0,0.44681247448261185,0,0.18272483330622868,0,0.18272483330622868,0,0.016521632978411152,1,0.04299274148520371,1,0.13637416375751132,0
29,10000,0.8714,0.6255829447035309,0,0.1890028585841601,0,0.07912658091017188,1,0.07912658091017188,1,0.032399526288460115,1,0.052742616033755185,1,0.6114975841745245,0,0.7802103297459334,0,0.11159674629050503,0,0.025142046090360193,1,0.053687803931739886,1,0.007491141243129565,1,0.006566960512951803,1,0.05904924041421178,0,0.8520188464901167,1,0.06735157712630108,1,0.006555211084806722,1,0.02409071346136736,1,0.004330593781787177,1,0.005122984466848335,1,0.10410360432214649,0,0.29671644309457523,0,0.43190694541592184,0,0.15073515298092055,0,0.15073515298092055,0,0.02409840282481803,1,0.06241643054243762,1,0.2538410391370144,0
30,10000,0.8816,0.631578947368421,0,0.1842105263157895,0,0.13533834586466165,0,0.13533834586466165,0,0.014528632450269828,1,0.06699171787336355,1,0.4198949423452698,0,0.7440740008171997,0,0.13498177530527594,0,0.031507394409389655,1,0.06893545955547736,1,0.009778017210203181,1,0.01677310467398796,1,0.04432046536614637,1,0.8271443411534146,1,0.08031846148370181,1,0.01395618397446552,1,0.023846620272194932,1,0.0013675905257380036,1,0.009601281400819395,1,0.07331843527829851,0,0.2935278272115746,0,0.43945266970782204,0,0.13270020909183955,0,0.1479418034105534,0,0.01969086841054113,1,0.038818821246665136,1,0.35036082042954275,0
