Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,Total_Fair
Standard,0.9,1.0,0.0,0.7217580231967399,0.9527086438132844,15.584296261066022,0.8688570650142908,3,0.5828356811932768,1,0.8161871063816593,5,0.9105695016366153,6,15
Standard,0.9,1.0,0.4,0.7388150854474507,0.9527086438132844,13.878590035994943,0.9149098119425646,3,0.6740094251895163,1,0.8237589048104995,5,0.9155615429870082,5,14
Standard,0.9,1.0,0.8,0.7543156096980965,0.9527086438132844,12.328537610930358,0.8998628790843697,4,0.7217605452355126,1,0.847194838048696,5,0.9294424167235006,6,16
Standard,1.0,0.0,0.0,0.8026007155751084,0.9527086438132844,7.500027023229173,0.9874724836429083,3,0.9984269085772466,3,0.9985786952082313,5,0.9824919995388046,6,17
Standard,1.0,0.0,0.4,0.8294185682012257,0.9527086438132844,4.818241760617436,0.8731561926199629,4,0.734483569772032,1,0.9151357949308921,6,0.9500304750730599,7,18
Standard,1.0,0.0,0.8,0.8419249186600802,0.9527086438132844,3.5676067147319857,0.8123891740164301,4,0.6107624919559287,1,0.8795737047609915,7,0.9209437301777209,7,19
Standard,1.0,0.4,0.0,0.7524185790105175,0.9527086438132844,12.518240679688263,0.940691688899542,3,0.6941648752274407,1,0.8696657419011632,5,0.9255483175989069,6,15
Standard,1.0,0.4,0.4,0.7680109822403338,0.9527086438132844,10.959000356706628,0.9666812792678985,4,0.7587683186780702,1,0.8907929353152843,5,0.9348332730678091,6,16
Standard,1.0,0.4,0.8,0.8055138196793964,0.9527086438132844,7.2087166128003695,0.8908776332480345,4,0.9018057152237735,3,0.9951655297382133,5,0.9772295645779518,6,18
Standard,1.0,0.8,0.0,0.7170397673840433,0.9527086438132844,16.05612184233568,0.8754406293388131,3,0.5639558362144189,1,0.8135787077809845,5,0.9102065113261205,6,15
Standard,1.0,0.8,0.4,0.7339725227805822,0.9527086438132844,14.362846302681787,0.9145102840688173,3,0.6542266413953433,1,0.8213136894949866,5,0.9121528747555879,5,14
Standard,1.0,0.8,0.8,0.7508620410104526,0.9527086438132844,12.673894479694747,0.9129992821052021,4,0.7054760398457722,1,0.8465633272702632,5,0.9271401456247855,6,16
Standard,1.0,1.0,0.0,0.7040578080918357,0.9527086438132844,17.35431777155644,0.8918560973087276,3,0.5034461047359338,1,0.8023453578545753,5,0.9164892082035152,6,15
Standard,1.0,1.0,0.4,0.7134889150713953,0.9527086438132844,16.411207073600476,0.9176876397951714,3,0.5422478906032443,1,0.7881140936226811,3,0.919528333909177,6,13
Standard,1.0,1.0,0.8,0.7326483845513604,0.9527086438132844,14.49526012560397,0.915862029240339,3,0.6415607096716281,1,0.809681183350967,5,0.9216951148624088,6,15
Reweigh_1,0.0,0.0,0.0,0.8665755083069406,0.9455753220986414,1.1025477500459457,0.6941846859159725,3,0.46401946433366176,3,0.8025179765965903,6,0.8724213160499809,7,19
Reweigh_1,0.0,0.0,0.4,0.8736177618280674,0.9455753220986414,0.3983223979332706,0.646839306785976,4,0.36519672980012297,3,0.783262876417131,4,0.8502264658898359,7,18
Reweigh_1,0.0,0.0,0.8,0.8754391274739767,0.9455753220986414,0.21618583334234165,0.6040735622316018,4,0.27706880978874165,2,0.7639660279233705,4,0.8269667014745404,7,17
Reweigh_1,0.0,0.4,0.0,0.866462010744436,0.9455753220986414,1.113897506296413,0.7316322265852806,3,0.4608011635521647,3,0.8146839565589882,6,0.8749225874889424,7,19
Reweigh_1,0.0,0.4,0.4,0.8734934549738955,0.9455753220986414,0.4107530833504569,0.6731756164874994,3,0.3621874073537194,3,0.7948639160712885,4,0.850191484126419,7,17
Reweigh_1,0.0,0.4,0.8,0.875617480786484,0.9455753220986414,0.19835050209160432,0.6210176200204289,4,0.2728586796257193,2,0.7758132538004764,4,0.8272037072055121,7,17
Reweigh_1,0.0,0.8,0.0,0.8659809972652492,0.9455753220986414,1.161998854215085,0.7572281006054064,3,0.4575101128905377,3,0.8271580903607462,6,0.8752375220337205,7,19
Reweigh_1,0.0,0.8,0.4,0.8732988877238874,0.9455753220986414,0.4302098083512673,0.6903991961267927,3,0.35788278644304733,1,0.8072705173537593,6,0.8514993288064507,7,17
Reweigh_1,0.0,0.8,0.8,0.8751472765989645,0.9455753220986414,0.24537092084355727,0.6589217075792616,4,0.2698877058263195,2,0.7882693731477719,4,0.8287065114869486,7,17
Reweigh_1,0.0,1.0,0.0,0.8655053884318961,0.9455753220986414,1.209559737550403,0.7620966624641518,3,0.45568847076029184,3,0.8341436646045421,6,0.8760552743654709,7,19
Reweigh_1,0.0,1.0,0.4,0.8731097251197129,0.9455753220986414,0.44912606876872374,0.7122837562960093,3,0.3547227795184967,1,0.8133941406675977,6,0.8521096759983994,7,17
Reweigh_1,0.0,1.0,0.8,0.8748554257239524,0.9455753220986414,0.2745560083447729,0.6715872691999245,3,0.26786784302838407,2,0.7945651858799376,4,0.8294466958697642,7,16
Reweigh_1,0.3,0.0,0.0,0.8559715931814988,0.9455753220986414,2.1629392625901245,0.7508134094188066,3,0.5565676511686126,3,0.8402313728531096,6,0.8987617906782576,7,19
Reweigh_1,0.3,0.0,0.4,0.8673213494319717,0.9455753220986414,1.0279636375428391,0.6790479121756099,3,0.44129270720478675,3,0.8159248873637073,6,0.8717592413417091,7,19
Reweigh_1,0.3,0.0,0.8,0.8738933987655789,0.9455753220986414,0.370758704182117,0.6279506154517928,4,0.34352125680304585,1,0.7973559800456547,4,0.8474323878659871,7,16
Reweigh_1,0.3,0.4,0.0,0.8553662728481403,0.9455753220986414,2.223471295925983,0.7752751102605482,3,0.5539489480156599,3,0.8541748422004315,6,0.9000820159582021,7,19
Reweigh_1,0.3,0.4,0.4,0.8668133127236172,0.9455753220986414,1.0787673083782923,0.7198939654228209,3,0.43742479072460866,3,0.8298714758682331,6,0.871973498851724,7,19
Reweigh_1,0.3,0.4,0.8,0.8735583107238982,0.9455753220986414,0.40426750835018677,0.6700204816070541,3,0.33895261104200175,1,0.8097981413232699,6,0.848181905815368,7,17
Reweigh_1,0.3,0.8,0.0,0.8548258082647844,0.9455753220986414,2.277517754261571,0.8079839838315108,5,0.5500945772014745,3,0.8691883419895312,6,0.9018543596563385,7,21
Reweigh_1,0.3,0.8,0.4,0.8664836293277701,0.9455753220986414,1.111735647962997,0.7560283200096051,3,0.432709968087326,3,0.8441557938967752,6,0.8741261035545135,7,19
Reweigh_1,0.3,0.8,0.8,0.8729205625155384,0.9455753220986414,0.46804232918616906,0.6914536657560313,3,0.3343540172124478,1,0.8229864487693108,6,0.8490251062322995,7,17
Reweigh_1,0.3,1.0,0.0,0.8546042177856085,0.9455753220986414,2.2996768021791625,0.8353901152862784,5,0.5470266820124007,3,0.876007038265266,6,0.9019842314266339,7,21
Reweigh_1,0.3,1.0,0.4,0.8659161415152465,0.9455753220986414,1.1684844292153551,0.7714504596527069,3,0.43040004372093194,3,0.8515614824170972,6,0.8747283155412664,7,19
Reweigh_1,0.3,1.0,0.8,0.8723530747030147,0.9455753220986414,0.5247911104385383,0.7200836774657117,3,0.3311712858438933,1,0.8305027514829231,6,0.8497969185061836,7,17
Reweigh_1,0.5,0.0,0.0,0.8462270167435928,0.9455753220986414,3.1373969063807294,0.7885224759752191,3,0.6352057668041325,1,0.8706621407691296,6,0.9206635593892812,7,17
Reweigh_1,0.5,0.0,0.4,0.8607384908066974,0.9455753220986414,1.6862495000702693,0.7282722622840851,3,0.49769050119375396,3,0.841881468992799,6,0.8879361645476974,7,19
Reweigh_1,0.5,0.0,0.8,0.8696885843070704,0.9455753220986414,0.791240150032968,0.6729850193777249,3,0.3925711078461047,1,0.8209885923271621,6,0.8646232778957578,7,17
