Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,EOPP_RACE,EOPP_AGE,EOPP_SEX,EOPP_ETH,EOD_RACE,EOD_AGE,EOD_SEX,EOD_ETH,SPD_RACE,SPD_AGE,SPD_SEX,SPD_ETH,Total_Fair
Standard,0.5,0.0,0.8,0.8724341443905181,0.9527087450567469,0.5166841416881951,0.6634673122667234,3,0.36347360761337505,1,0.7994005599047902,6,0.85186591053089,7,0.06574331817050272,0.14033241607044578,0.013467464085032077,0.010210789371052131,0.06574331817050272,0.14033241607044578,0.020986108981835755,0.014792141619473287,0.16884028459309502,0.35535269186511914,0.09751332928684658,0.06551982949723406,17
Standard,0.5,0.4,0.0,0.8553932960773081,0.9527087450567469,2.2207689730092017,0.8133847118534338,5,0.5602746155883731,3,0.8652368007279835,7,0.9020897867447989,7,0.038611159060263356,0.08390719962840609,0.0015430837386981588,0.010582368795307162,0.055168826711187335,0.08390719962840609,0.023160912116364063,0.010582368795307162,0.08893655500892872,0.22779891237901795,0.06413928282154807,0.04379695126392669,22
Standard,0.5,0.4,0.4,0.8623058380984294,0.9527087450567469,1.5295147708970669,0.751411455324176,3,0.4901776983435125,3,0.8456426695503846,7,0.887036526707273,7,0.01841524171621256,0.08209324665020867,4.735672004663183e-05,0.0038667848434510432,0.04198811406427001,0.08209324665020867,0.008729027474463413,0.0038667848434510432,0.12127291422184427,0.2694622540046214,0.07371061296078935,0.05022448578114025,20
Standard,0.5,0.4,0.8,0.8670943543069622,0.9527087450567469,1.0506631500437846,0.6969602252044556,3,0.4348651902515607,3,0.8314210678082316,7,0.8728621661072401,7,0.0670850185413292,0.08692743151792215,0.0007804444797128163,0.0014867269876351896,0.0670850185413292,0.08692743151792215,0.0022704320453433013,0.006512331898592169,0.15144792510074812,0.30452047739496924,0.0807627569710671,0.05636943617753304,20
Standard,0.5,0.8,0.0,0.8236301925134846,0.9527087450567469,5.397079329391552,0.9409443614980584,4,0.823299721610773,3,0.9788445156379615,5,0.9846359939046445,7,0.06311990659386013,0.16526472815469062,0.01481218294216291,0.021784902257167116,0.1312518723814886,0.22190947809437483,0.10374975887641981,0.051719674467493565,0.028205754203552424,0.08728933134836597,0.009885113874087081,0.007112737072160591,19
Standard,0.5,0.8,0.4,0.8456000778269,0.9527087450567469,3.2000907980500037,0.860806120058565,4,0.6491545621892432,1,0.9092043132573103,6,0.928950577960882,7,0.0045028437422559575,0.11761561942560328,0.012776949949444893,0.015448062667568041,0.12755208419582062,0.11761561942560328,0.050734544925795225,0.018285584787209597,0.068139554025128,0.17733872226745157,0.042603172660217736,0.03204447815038375,18
Standard,0.5,0.8,0.8,0.8557013608898209,0.9527087450567469,2.189962491757924,0.8129775319542356,4,0.5496647792344854,1,0.877659355385782,7,0.9056768143221966,7,0.053283599638755286,0.10422870236903681,0.009692661735059338,0.009891171036902513,0.11418134409107966,0.10422870236903681,0.02833085227182383,0.009891171036902513,0.09354757101637151,0.2324831154320205,0.05767515865060652,0.0421095679778094,19
Standard,0.5,1.0,0.0,0.7905267367829386,0.9527087450567469,8.707424902446148,0.9154628613389973,4,0.7401013608148856,1,0.9185304957477298,5,0.9551609994401827,6,0.06869761406209851,0.19605211535646316,0.01803301147025871,0.02523287459853063,0.1377706314750831,0.3889278848043435,0.18657951312474452,0.09298184516527586,0.042151223096139945,0.14350391932597922,0.041022950853764895,0.022640713330781936,16
Standard,0.5,1.0,0.4,0.8255974835968999,0.9527087450567469,5.200350221050021,0.8865719702750844,4,0.8333416496911494,3,0.980702198214583,5,0.9861095767125496,7,0.009023232936768988,0.16236067600318804,0.01854238730187574,0.019276190718135577,0.11596627680986843,0.20964074401465937,0.10286248501884919,0.05518783947403258,0.05588391033163559,0.08228661459351833,0.008977844884680952,0.006407592545425611,19
Standard,0.5,1.0,0.8,0.8460324494935847,0.9527087450567469,3.15685363138154,0.8441628609620676,4,0.6402964879940629,1,0.9143334106567429,6,0.9315285228805139,7,0.04391868347948591,0.1167101956287766,0.01600473281241055,0.015032091677334103,0.1363172986118601,0.1167101956287766,0.052970922674963006,0.020791194501296212,0.07816415716953762,0.18146681061746395,0.04000459154245861,0.030818076555729157,18
