Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
Random Forest,SEX,CAL,0.048585,0.006249,0.05,0.0014,0.2,0.3333,66.7,FAIR
Random Forest,ETHNICITY,DI,0.82241,0.008528,0.8,0.0224,2.6,0.0,100.0,FAIR
Random Forest,ETHNICITY,SPD,0.081681,0.004191,0.1,0.0183,4.4,0.0,100.0,FAIR
Random Forest,ETHNICITY,EOPP,0.031231,0.004475,0.1,0.0688,15.4,0.0,100.0,FAIR
Random Forest,ETHNICITY,EOD,0.033214,0.002937,0.1,0.0668,22.7,0.0,100.0,FAIR
Random Forest,ETHNICITY,TI,0.001235,0.000733,0.1,0.0988,134.8,0.0,100.0,FAIR
Random Forest,ETHNICITY,PP,0.006996,0.003802,0.1,0.093,24.5,0.0,100.0,FAIR
Random Forest,ETHNICITY,CAL,0.046538,0.009727,0.05,0.0035,0.4,0.3,70.0,FAIR
Random Forest,AGE_GROUP,DI,0.507299,0.003315,0.8,0.2927,88.3,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,SPD,0.300074,0.002997,0.1,0.2001,66.8,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,EOPP,0.113392,0.003624,0.1,0.0134,3.7,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,EOD,0.117679,0.002944,0.1,0.0177,6.0,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,TI,0.003994,0.000821,0.1,0.096,116.9,0.0,100.0,FAIR
Random Forest,AGE_GROUP,PP,0.049184,0.004598,0.1,0.0508,11.1,0.0,100.0,FAIR
Random Forest,AGE_GROUP,CAL,0.043129,0.006736,0.05,0.0069,1.0,0.2,80.0,FAIR
HistGradientBoosting,RACE,DI,0.640394,0.047541,0.8,0.1596,3.4,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,SPD,0.179751,0.024262,0.1,0.0798,3.3,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,EOPP,0.073369,0.034648,0.1,0.0266,0.8,0.2333,76.7,FAIR
HistGradientBoosting,RACE,EOD,0.074547,0.03318,0.1,0.0255,0.8,0.2333,76.7,FAIR
HistGradientBoosting,RACE,TI,0.010199,0.004463,0.1,0.0898,20.1,0.0,100.0,FAIR
HistGradientBoosting,RACE,PP,0.101131,0.04502,0.1,0.0011,0.0,0.5,50.0,UNFAIR
HistGradientBoosting,RACE,CAL,0.295376,0.124853,0.05,0.2454,2.0,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,DI,0.750802,0.005461,0.8,0.0492,9.0,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,SPD,0.129203,0.003498,0.1,0.0292,8.3,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,EOPP,0.04191,0.004505,0.1,0.0581,12.9,0.0,100.0,FAIR
HistGradientBoosting,SEX,EOD,0.059819,0.00342,0.1,0.0402,11.7,0.0,100.0,FAIR
HistGradientBoosting,SEX,TI,0.003874,0.001092,0.1,0.0961,88.0,0.0,100.0,FAIR
HistGradientBoosting,SEX,PP,0.002662,0.001993,0.1,0.0973,48.8,0.0,100.0,FAIR
HistGradientBoosting,SEX,CAL,0.043989,0.00508,0.05,0.006,1.2,0.1667,83.3,FAIR
HistGradientBoosting,ETHNICITY,DI,0.829103,0.008027,0.8,0.0291,3.6,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,SPD,0.078294,0.003919,0.1,0.0217,5.5,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,EOPP,0.025567,0.00414,0.1,0.0744,18.0,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,EOD,0.029019,0.002995,0.1,0.071,23.7,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,TI,0.001334,0.000784,0.1,0.0987,125.8,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,PP,0.007803,0.003446,0.1,0.0922,26.8,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,CAL,0.034747,0.006569,0.05,0.0153,2.3,0.0667,93.3,FAIR
HistGradientBoosting,AGE_GROUP,DI,0.507564,0.003329,0.8,0.2924,87.8,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,SPD,0.299252,0.003139,0.1,0.1993,63.5,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,EOPP,0.109232,0.003302,0.1,0.0092,2.8,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,EOD,0.114852,0.003196,0.1,0.0149,4.6,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,TI,0.003805,0.000751,0.1,0.0962,128.0,0.0,100.0,FAIR
HistGradientBoosting,AGE_GROUP,PP,0.045141,0.004142,0.1,0.0549,13.2,0.0,100.0,FAIR
