Seed,Accuracy,AUC,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
141,0.8666457687027769,0.9452316080371204,0.6360827374872319,0,0.18320777517805265,0,0.0772366791784268,1,0.0772366791784268,1,0.005922760927478406,1,0.09818843850621406,1,0.08806551644730626,0,0.7514203446744951,0,0.1290835210734111,0,0.0417224701165374,1,0.05819667248402623,1,0.003883202450067666,1,0.000632970215414308,1,0.03962487582076779,1,0.8239542309967969,1,0.08092874527491833,1,0.0273810999003119,1,0.030163015624836212,1,0.0015816336666030426,1,0.003709807701725021,1,0.026709247483060805,1,0.5102950694662056,0,0.2975299618934073,0,0.10441928111470955,0,0.10783403440440631,0,0.00395580551153598,1,0.0452678086959204,1,0.04075736298824384,1
148,0.8669430242236226,0.9452031522522504,0.6483541835592108,0,0.17672627707658506,0,0.07380645244722916,1,0.07380645244722916,1,0.006781378248340637,1,0.10316091954022988,0,0.1525329533774218,0,0.7521739317293515,0,0.12853514206565164,0,0.04170167966351335,1,0.057037146299105196,1,0.003747399895074062,1,0.0002097016665616458,1,0.045933842563687766,1,0.823535699678122,1,0.08107780155538591,1,0.027854385690071037,1,0.03001372627746457,1,0.001558010189944406,1,0.0037694049811829444,1,0.025665316074809486,1,0.5107261322460096,0,0.2969718606303701,0,0.10463673412339614,0,0.10614808286683178,0,0.00392894946478841,1,0.04624471307568501,1,0.04252269106770257,1
155,0.8667646709111152,0.9452570812698311,0.6400252782441056,0,0.18089658419398363,0,0.07514815281805565,1,0.07514815281805565,1,0.006509457718358348,1,0.09712527262092407,1,0.10616888838461647,0,0.751110211259928,0,0.12915653473430316,0,0.042902123500136,1,0.05722116151102938,1,0.003768774908326014,1,0.00023330574281987815,1,0.03804157713939971,1,0.8224649127544666,1,0.08157374661963546,1,0.02814568299548037,1,0.03070710988871768,1,0.0016558071476515876,1,0.0029647567798750663,1,0.026582268699569256,1,0.5113948181905852,0,0.296331820422628,0,0.10323972348709953,0,0.1063405509492081,0,0.003937678638937861,1,0.045941137086195516,1,0.03879371860766645,1
162,0.8669862613902911,0.9451998724596693,0.6372851623218013,0,0.1822579025473372,0,0.07007232249950701,1,0.07007232249950701,1,0.005718101555878027,1,0.09022696369726513,1,0.10748682304062335,0,0.7507124167576112,0,0.12947685450353358,0,0.04395381004392851,1,0.056771411965286026,1,0.003811213110894121,1,0.0008238053331768302,1,0.0425739039911584,1,0.8236954120049528,1,0.08102672896824897,1,0.02753543539347647,1,0.030140127221258278,1,0.0015914991267602097,1,0.003595484352567846,1,0.026415519388451103,1,0.5102933320985868,0,0.297432196626581,0,0.10356421111689895,0,0.1080559271238339,0,0.003862789888365706,1,0.04437179925000234,1,0.040764060857766404,1
169,0.8668511452444522,0.9452184905777877,0.6489188519701401,0,0.17704882384131787,0,0.06723697014959151,1,0.06723697014959151,1,0.006564023903915028,1,0.10107590099359165,0,0.07392873593249272,0,0.7514371689450118,0,0.12911141704173817,0,0.04211036097313903,1,0.05780140235287952,1,0.003902415302089547,1,0.00023630367464910762,1,0.03687126852121589,1,0.8243654690711131,1,0.08075407793758288,1,0.02702244370960316,1,0.030064703779663332,1,0.001691474418520987,1,0.0037524083618549753,1,0.026868437307054238,1,0.5101193912443315,0,0.2977664471089029,0,0.10427690807900714,0,0.10821088395786314,0,0.004111432153237025,1,0.04478372617517279,1,0.03993421857828472,1
176,0.8671538054111314,0.9453740995963421,0.6382704321380469,0,0.18227821711138786,0,0.07873033115751571,1,0.07873033115751571,1,0.005926300752113936,1,0.10155541728293804,0,0.12642958155808826,0,0.7511320198641619,0,0.12917822735006879,0,0.04266239713682707,1,0.057312213618212246,1,0.0038667401302439758,1,1.628101615613886e-05,1,0.0376157359489207,1,0.8231283687601132,1,0.08127548453210143,1,0.02771364146800781,1,0.03040285125714126,1,0.0016448077166579464,1,0.0031887190862359693,1,0.025636112520894816,1,0.5094856455693004,0,0.29802174346673005,0,0.10441323918024392,0,0.10831427283472357,0,0.003967588147111713,1,0.04391468315681102,1,0.03913511402896741,1
183,0.8665052479111044,0.9451902923855495,0.647742056186526,0,0.17720121339194272,0,0.06350284020186936,1,0.06350284020186936,1,0.0066753538105082805,1,0.09999067713589782,1,0.10789628392235562,0,0.7522906590189581,0,0.12844904665111284,0,0.04258808838767092,1,0.05624508753968123,1,0.003693512114281733,1,0.0012778429687260173,1,0.048186034690609725,1,0.8225863797033817,1,0.08152717863145259,1,0.028514148047471988,1,0.030425619850271632,1,0.0016107157996046936,1,0.003483961831238447,1,0.026901860902093344,1,0.5111099366357571,0,0.29661558493261153,0,0.10281644474255569,0,0.10762671978777733,0,0.00395209572859033,1,0.045032950919827286,1,0.036498428214884915,1
190,0.8665755083069406,0.9451543385665018,0.6425993049785423,0,0.17966479392663665,0,0.06932549650996256,1,0.06932549650996256,1,0.006385821143619581,1,0.0969222036752817,1,0.09959712715239477,0,0.7518949761975368,0,0.12878951775706837,0,0.04260542821652291,1,0.05684570909945162,1,0.0037218051737059887,1,0.0008184626747935742,1,0.04281967484772503,1,0.824530359338648,1,0.08064953093723315,1,0.02661675202963454,1,0.030247282920698698,1,0.0014868487881846346,1,0.0035151419156220776,1,0.025947752082526532,1,0.5097826882712957,0,0.2979587413836863,0,0.10555214205725527,0,0.10774893526390764,0,0.0039310502782169895,1,0.04559843562295085,1,0.04264859558539824,1
197,0.8668781684736199,0.9452267254000524,0.6369567776624119,0,0.18251695871935047,0,0.0772366791784268,1,0.0772366791784268,1,0.006644295078772837,1,0.09845745418165819,1,0.09768094333177091,0,0.7514584899406124,0,0.12909667929985497,0,0.04265872001014537,1,0.05725793045382954,1,0.0038039565004388473,1,0.00034729911204423036,1,0.045473700820080176,1,0.8236475069163094,1,0.08109993736733229,1,0.02653131378994167,1,0.031006527256593877,1,0.0015904486761900843,1,0.002488585706825641,1,0.02778182426666187,1,0.510391475743352,0,0.29753313899023903,0,0.1038268034285964,0,0.10811464991667495,0,0.003895083983943011,1,0.044768683189704395,1,0.04218172279499566,1
204,0.8669214056402884,0.9451754546133536,0.6483541835592108,0,0.17672627707658506,0,0.06499649218095827,1,0.06499649218095827,1,0.0067686804731537445,1,0.09962377058893235,1,0.08657097094106711,0,0.7507624427457419,0,0.12928925088404902,0,0.04239339355458194,1,0.0578905434625039,1,0.0038010999930390837,1,0.0006802089247288645,1,0.045077134279096764,1,0.8241591781556652,1,0.08070495859672516,1,0.027710094282680564,1,0.029489356499726643,1,0.001592629384644599,1,0.004287241110243922,1,0.025792003626700255,1,0.5093687827321023,0,0.2978514152453459,0,0.10497779017453901,0,0.1077405802211577,0,0.003952002822102993,1,0.04440203167671841,1,0.03926013829309949,1
