metric,attribute,fold,metric_value,verdict
SPD,ETHNICITY,4,0.037304,Pass
SPD,ETHNICITY,5,0.057139,Pass
SPD,ETHNICITY,6,0.050056,Pass
SPD,ETHNICITY,7,0.014269,Pass
SPD,ETHNICITY,8,0.04592,Pass
SPD,ETHNICITY,9,0.04187,Pass
SPD,ETHNICITY,10,0.08002,Pass
SPD,ETHNICITY,11,0.095654,Pass
SPD,ETHNICITY,12,0.003162,Pass
SPD,ETHNICITY,13,0.017259,Pass
SPD,ETHNICITY,14,0.079914,Pass
SPD,ETHNICITY,15,0.055524,Pass
SPD,ETHNICITY,16,0.022072,Pass
SPD,ETHNICITY,17,0.006275,Pass
SPD,ETHNICITY,18,0.042166,Pass
SPD,ETHNICITY,19,0.029705,Pass
EOPP,ETHNICITY,0,0.01498,Pass
EOPP,ETHNICITY,1,0.003711,Pass
EOPP,ETHNICITY,2,0.025258,Pass
EOPP,ETHNICITY,3,0.02585,Pass
EOPP,ETHNICITY,4,0.024601,Pass
EOPP,ETHNICITY,5,0.005844,Pass
EOPP,ETHNICITY,6,0.01642,Pass
EOPP,ETHNICITY,7,0.000881,Pass
EOPP,ETHNICITY,8,0.017766,Pass
EOPP,ETHNICITY,9,0.01461,Pass
EOPP,ETHNICITY,10,0.010572,Pass
EOPP,ETHNICITY,11,0.001726,Pass
EOPP,ETHNICITY,12,0.00896,Pass
EOPP,ETHNICITY,13,0.006048,Pass
EOPP,ETHNICITY,14,0.033926,Pass
EOPP,ETHNICITY,15,0.020999,Pass
EOPP,ETHNICITY,16,0.029246,Pass
EOPP,ETHNICITY,17,0.002565,Pass
EOPP,ETHNICITY,18,0.00087,Pass
EOPP,ETHNICITY,19,0.015552,Pass
EOD,ETHNICITY,0,0.041843,Pass
EOD,ETHNICITY,1,0.020976,Pass
EOD,ETHNICITY,2,0.063023,Pass
EOD,ETHNICITY,3,0.02585,Pass
EOD,ETHNICITY,4,0.024601,Pass
EOD,ETHNICITY,5,0.005844,Pass
EOD,ETHNICITY,6,0.024118,Pass
EOD,ETHNICITY,7,0.048783,Pass
EOD,ETHNICITY,8,0.025865,Pass
EOD,ETHNICITY,9,0.022365,Pass
EOD,ETHNICITY,10,0.025177,Pass
EOD,ETHNICITY,11,0.013104,Pass
EOD,ETHNICITY,12,0.05223,Pass
EOD,ETHNICITY,13,0.039139,Pass
EOD,ETHNICITY,14,0.033926,Pass
EOD,ETHNICITY,15,0.020999,Pass
EOD,ETHNICITY,16,0.0721,Pass
EOD,ETHNICITY,17,0.047925,Pass
EOD,ETHNICITY,18,0.048255,Pass
EOD,ETHNICITY,19,0.029105,Pass
TI,ETHNICITY,0,0.000241,Pass
TI,ETHNICITY,1,0.001279,Pass
TI,ETHNICITY,2,0.001222,Pass
TI,ETHNICITY,3,0.001951,Pass
TI,ETHNICITY,4,0.000631,Pass
TI,ETHNICITY,5,0.001377,Pass
TI,ETHNICITY,6,0.001117,Pass
TI,ETHNICITY,7,7.2e-05,Pass
TI,ETHNICITY,8,0.000849,Pass
TI,ETHNICITY,9,0.000795,Pass
TI,ETHNICITY,10,0.003142,Pass
TI,ETHNICITY,11,0.004509,Pass
TI,ETHNICITY,12,4e-06,Pass
TI,ETHNICITY,13,9.9e-05,Pass
TI,ETHNICITY,14,0.003609,Pass
TI,ETHNICITY,15,0.001799,Pass
TI,ETHNICITY,16,0.000209,Pass
TI,ETHNICITY,17,1.4e-05,Pass
TI,ETHNICITY,18,0.000877,Pass
TI,ETHNICITY,19,0.000378,Pass
PP,ETHNICITY,0,0.08988,Pass
PP,ETHNICITY,1,0.094318,Pass
PP,ETHNICITY,2,0.019058,Pass
PP,ETHNICITY,3,0.065374,Pass
PP,ETHNICITY,4,0.058883,Pass
PP,ETHNICITY,5,0.082449,Pass
PP,ETHNICITY,6,0.100481,Fail
PP,ETHNICITY,7,0.065781,Pass
PP,ETHNICITY,8,0.013665,Pass
PP,ETHNICITY,9,0.086442,Pass
PP,ETHNICITY,10,0.05777,Pass
PP,ETHNICITY,11,0.088311,Pass
PP,ETHNICITY,12,0.077013,Pass
PP,ETHNICITY,13,0.069971,Pass
PP,ETHNICITY,14,0.175088,Fail
PP,ETHNICITY,15,0.076725,Pass
PP,ETHNICITY,16,0.090157,Pass
PP,ETHNICITY,17,0.055129,Pass
PP,ETHNICITY,18,0.023631,Pass
