k,DI_race,DI_age,pass_DI_race,pass_DI_age
479,0.8302345058626465,0.7157737166991553,1,0
480,0.8146036793095617,0.6689111614432869,1,0
481,0.6299292214357937,0.7091925760086996,0,0
482,0.8537724103585657,0.6616613611585378,1,0
483,0.7990566037735849,0.6869725416886794,0,0
484,0.7550439629455173,0.7026282294040684,0,0
485,0.8352541849880429,0.667447413310508,1,0
486,0.8208594194649971,0.6836983440941995,1,0
487,0.6681670029489368,0.6756462685259662,0,0
488,0.7922391712314871,0.692474688350977,0,0
489,0.8012337623821104,0.7108591648363974,1,0
490,0.8208810550212995,0.7078108555358901,1,0
491,0.811823961687722,0.6635537930768638,1,0
492,0.7294687791239516,0.714967281786292,0,0
493,0.8007201218667775,0.6555617698553277,1,0
494,0.7569360675512666,0.7113821941619588,0,0
495,0.7627942093687424,0.7141054756497602,0,0
496,0.6176852033798389,0.703901983714019,0,0
497,0.7646073962620407,0.7027226453619605,0,0
498,0.6262108262108262,0.6988136089926291,0,0
499,0.8237173022596181,0.68801551965003,1,0
