Model,Attribute,Metric,Pass,VFR
Stacking Ensemble,ETHNICITY,SPD,474,0.052
Stacking Ensemble,ETHNICITY,EOPP,500,0.0
Stacking Ensemble,ETHNICITY,EOD,500,0.0
Stacking Ensemble,ETHNICITY,TI,500,0.0
Stacking Ensemble,ETHNICITY,PP,500,0.0
Stacking Ensemble,ETHNICITY,CAL,273,0.454
Stacking Ensemble,AGE_GROUP,DI,0,0.0
Stacking Ensemble,AGE_GROUP,SPD,0,0.0
Stacking Ensemble,AGE_GROUP,EOPP,0,0.0
Stacking Ensemble,AGE_GROUP,EOD,0,0.0
Stacking Ensemble,AGE_GROUP,TI,500,0.0
Stacking Ensemble,AGE_GROUP,PP,398,0.204
Stacking Ensemble,AGE_GROUP,CAL,52,0.104
